reason,level,reading,writing,zh,page,column,entry_no,needs_review,review_reason
duplicate_reading,N2,いっち,一致,,483,left,03,,
duplicate_reading,N2,きせる,着せる,,483,right,07,,
blank_zh,N2,どうか,どうか,,484,left,07,,
duplicate_reading,N2,みとめる,認める,,485,left,25,,
blank_zh,N2,やっつける,やっつける,,485,left,26,,
needs_review,N2,けいじ,刑事,,485,right,02,1,duplicate_reading
needs_review,N2,こうせい,公正,,485,right,93,1,duplicate_reading
duplicate_reading,N2,こうへい,公平,,485,right,04,,
duplicate_reading,N2,さいばん,裁判,,485,right,08,,
duplicate_reading,N2,じじつ,事実,,485,right,07,,
needs_review,N2,ぜんしん,前進,,486,left,12,1,duplicate_reading
duplicate_reading,N2,あつい,熱い,,487,left,02,,
duplicate_reading,N2,うたがう,疑う,,487,left,04,,
duplicate_reading,N2,うん,運,,487,right,07,,
duplicate_reading,N2,おしい,惜しい,,487,right,98,,
needs_review,N2,かん,感,,488,left,13,1,duplicate_reading
duplicate_reading,N2,かんかく,感覚,,488,left,14,,
duplicate_reading,N2,かんじ,感じ,,488,left,,,
needs_review,N2,かんじょう,感情,,488,left,07,1,duplicate_reading
duplicate_reading,N2,かんしん,関心,,488,right,08,,
needs_review,N2,きたい,期待,,488,right,00,1,duplicate_reading
duplicate_reading,N2,きのどく,気の毒,,488,right,03,,
duplicate_reading,N2,きらく,気楽,,489,left,25,,
blank_zh,N2,しみじみ,しみじみ,,490,left,03,,
duplicate_reading,N2,しんけん,真剣,,490,left,,,
duplicate_reading,N2,すむ,澄む,,490,left,41,,
blank_zh,N2,ずるい,ずるい,,490,right,42,,
duplicate_reading,N2,せいしん,精神,,490,right,03,,
needs_review,N2,攻心,普,,490,right,04,1,unexpected_reading_chars;suspicious_reading
blank_zh,N2,なんとも,なんとも,,491,left,52,,
duplicate_reading,N2,あきらめる,諦める,,491,right,01,,
bad_reading_chars,N2,あくまで(も,飽くまで(も),,491,right,02,,
duplicate_reading,N2,あらためる,改める,,492,left,00,,
needs_review,N2,いき,意気,,492,left,05,1,duplicate_reading
duplicate_reading,N2,いし,意志,,492,left,00,,
needs_review,N2,おう,追う,,492,left,08,1,duplicate_reading
blank_zh,N2,さっさと,さっさと,,492,right,03,,
needs_review,N2,さっそく,早速,,492,right,04,1,reading_auto_cleaned
duplicate_reading,N2,しゅうちゅう,集中,,492,right,05,,
duplicate_reading,N2,つねに,常に,,493,left,19,,
duplicate_reading,N2,はいけん,拝見,,493,right,23,,
duplicate_reading,N2,ひっし,必死,,493,right,03,,
duplicate_reading,N2,あいじょう,愛情,,494,left,00,,
duplicate_reading,N2,あこがれる,憧れる,,494,left,03,,
duplicate_reading,N2,うらぎる,裏切る,,494,left,05,,
duplicate_reading,N2,かかえる,抱える,,494,left,06,,
duplicate_reading,N2,きにいる,気に入る,,494,right,,,
duplicate_reading,N2,きらう,嫌う,,494,right,,,
duplicate_reading,N2,こい,恋,,494,right,,,
duplicate_reading,N2,いきなり,いきなり,,495,right,92,,
duplicate_reading,N2,かわいそう,可哀相・可哀想,,495,right,0e,,
blank_zh,N2,きつい,きつい,,496,left,07,,
duplicate_reading,N2,くるしい,苦しい,,496,left,01,,
duplicate_reading,N2,くろう,苦労,,496,left,03,,
duplicate_reading,N2,こんなん,困難,,496,right,04,,
duplicate_reading,N2,つらい,辛い,,496,right,07,,
needs_review,N2,あばれる,暴れる,,497,left,01,1,reading_auto_cleaned
duplicate_reading,N2,おそれる,恐れる,,497,right,04,,
duplicate_reading,N2,おそろしい,恐ろしい,,497,right,08,,
needs_review,N2,扳寐大牙,容國才,,497,right,0e,1,unexpected_reading_chars;suspicious_reading
duplicate_reading,N2,きょうふ,恐怖,,498,left,01,,
duplicate_reading,N2,にくい,憎い,,499,left,23,,
duplicate_reading,N2,びっくり,びっくり,,499,left,27,,
duplicate_reading,N2,まねく,招く,,499,left,28,,
duplicate_reading,N2,みょう,妙,,499,right,29,,
duplicate_reading,N2,めったに,減多に,,499,right,30,,
needs_review,N2,おん,恩,,500,left,00,1,duplicate_reading
needs_review,N2,こう,請う,,500,left,,1,duplicate_reading
needs_review,N2,ほこり,誇り,,500,right,,1,duplicate_reading
needs_review,N2,わびる,詫びる,,500,right,,1,reading_auto_cleaned
blank_zh,N2,あれこれ,あれこれ,,501,left,02,,
duplicate_reading,N2,あんい,安易,,501,left,03,,
duplicate_reading,N2,およそ,凡そ,,501,right,07,,
duplicate_reading,N2,かてい,仮定,,501,right,08,,
duplicate_reading,N2,きっかけ,切っ掛け,,501,right,10,,
duplicate_reading,N2,そうぞう,創造,,502,left,15,,
blank_zh,N2,てっきり,てっきり,,502,left,16,,
duplicate_reading,N2,りそう,理想,,502,right,19,,
needs_review,N2,いらい,依頼,,502,right,03,1,duplicate_reading
needs_review,N2,おうじる・おうずる,応じる・応ずる,,503,left,04,1,reading_auto_cleaned
needs_review,N2,かん,勘,,503,left,05,1,duplicate_reading
duplicate_reading,N2,くべつ,区別,,503,left,07,,
duplicate_reading,N2,けってい,決定,,503,left,09,,
duplicate_reading,N2,げんかい,限界,,503,left,10,,
duplicate_reading,N2,けんとう,検討,,503,right,11,,
blank_zh,N2,ざっと,ざっと,,503,right,04,,
duplicate_reading,N2,せい,所為,,504,left,18,,duplicate_reading
blank_zh,N2,そのため,そのため,,504,left,09,,
blank_zh,N2,それなのに,それなのに,,504,left,21,,
blank_zh,N2,それなら,それなら,,504,left,02,,
blank_zh,N2,だけど,だけど,,504,right,03,,
blank_zh,N2,だって,だって,,504,right,04,,
duplicate_reading,N2,ためす,試す,,504,right,,,
blank_zh,N2,どうせ,どうせ,,505,left,30,,
blank_zh,N2,ところが,ところが,,505,left,31,,
duplicate_reading,N2,はんだん,判断,,505,left,32,,
duplicate_reading,N2,むし,無視,,505,left,33,,
duplicate_reading,N2,あらゆる,有らゆる,,505,right,01,,
duplicate_reading,N2,いけん,異見,,505,right,02,,
needs_review,N2,こうてい,肯定,,506,left,00,1,duplicate_reading
duplicate_reading,N2,しょうち,承知,,506,right,03,,
duplicate_reading,N2,そうい,相違,,506,right,04,,
blank_zh,N2,そうっと,そうっと,,506,right,05,,
duplicate_reading,N2,たんに,単に,,507,left,18,,
needs_review,N2,ひかく,比較,,507,left,20,1,reading_auto_cleaned
duplicate_reading,N2,べつ,別,,507,right,23,,
duplicate_reading,N2,まさに,まさに,,507,right,24,,
needs_review,N2,みかた,見方,,507,right,25,1,duplicate_reading
blank_zh,N2,もしも,もしも,,507,right,28,,
needs_review,N2,もっとも,尤も,,508,left,30,1,duplicate_reading
duplicate_reading,N2,より,より,,508,left,31,,
