level,reading,writing,page,column,entry_no,needs_review,review_reason
N2,カラー,color,426,right,,,
N2,きごう,記号,426,right,,1,reading_auto_cleaned
N2,きゅう,球,426,right,,1,duplicate_reading
N2,きょくせん,曲線,426,right,,,
N2,ぎん,銀,426,right,,,
N2,グラフ,graph,427,left,11,,
N2,けい,形・型,427,left,12,,
N2,こん,紺,427,left,13,1,duplicate_reading
N2,しかくい,四角い,427,left,14,,
N2,ずけい,図形,427,left,16,,
N2,せい,正,427,left,17,1,duplicate_reading
N2,せいほうけい,正方形,427,right,18,,
N2,たいかくせん,対角線,427,right,19,,
N2,だえん,楕円,427,right,20,,
N2,ちょうほうけい,長方形,427,right,21,,
N2,ちょっかく,直角,427,right,22,,
N2,でこぼこ,凸凹,427,right,23,,
N2,てんてん,点々,428,left,,1,duplicate_reading
N2,ましかく,真四角,428,left,26,,
N2,まっか,真っ赤,428,left,27,,
N2,まる,丸,428,left,29,,
N2,まんまるい,真ん丸い,428,left,,,
N2,もよう,模様,428,left,,,
N2,よこなが,横長,428,right,,,
N2,よつかど,四つ角,428,right,02,,
N2,らせん,螺旋,428,right,03,,
N2,りょくおうしょく,緑黄色,428,right,04,,
N2,がく,学,429,left,01,1,duplicate_reading
N2,がくしゅう,学習,429,left,02,,
N2,がくじゅつ,学術,429,left,03,,
N2,がくもん,学問,429,left,04,,
N2,がっかい,学会,429,left,05,,
N2,きそ,基礎,429,right,07,,
N2,きょうよう,教養,429,right,08,,
N2,こうえん,講演,429,right,00,,
N2,さんこう,参考,429,right,00,,
N2,じしゅう,自習,430,left,02,,
N2,しぜんかがく,自然科学,430,left,03,,
N2,じっけん,実験,430,left,14,,
N2,じっしゅう,実習,430,left,15,,
N2,しどう,指導,430,left,,,
N2,しゃかいかがく,社会科学,430,left,07,,
N2,じょうきゅう,上級,430,right,08,,
N2,じょうたつ,上達,430,right,09,,
N2,しょきゅう,初級,430,right,00,,
N2,しょほ,初歩,430,right,01,,
N2,じんぶんかがく,人文科学,430,right,22,,
N2,せんこう,専攻,430,right,23,,
N2,たいいく,体育,431,left,24,,
N2,てつがく,哲学,431,left,25,,
N2,ならう,習う,431,left,27,,
N2,ほうしん,方針,431,left,28,,
N2,ほけん,保健,431,left,29,1,duplicate_reading
N2,まなぶ,学ぶ,431,left,30,,
N2,うらぐち,裏ロ,431,right,01,,
N2,がっか,学科,431,right,02,,
N2,がっき,学期,431,right,03,1,duplicate_reading
N2,キャンパス,campus,431,right,04,,
N2,きゅうこう,休校,432,left,05,1,duplicate_reading
N2,こうか,校歌,432,left,,,
N2,こうとう,高等,432,left,00,,
N2,じつぎ,実技,432,left,00,,
N2,じゅけん,受験,432,left,,,
N2,しりつ,私立,432,right,02,,
N2,しんろ,進路,432,right,03,,
N2,すいせん,推薦,432,right,04,,
N2,スクール,school,432,right,05,,
N2,ひきだす,引き出す,432,right,07,,
N2,ふぞく,付属,433,left,18,,
N2,あらわれ,現れ・表れ,433,left,01,,
N2,あんき,暗記,433,left,02,,
N2,いいん,委員,433,left,03,,
N2,いっせいに,一斉に,433,left,04,,
N2,うけもつ,受け持つ,433,left,05,,
N2,えんそく,人足,433,right,0e,,
N2,おいつく,追い付く,433,right,07,,
N2,おうよう,応用,433,right,08,,
N2,かいてん,回転,433,right,10,,
N2,かいとう,解答,433,right,11,1,duplicate_reading
N2,がくねん,学年,434,left,12,,
N2,がくりよく,学力,434,left,03,,
N2,かせん,下線,434,left,44,,
N2,がっきゅう,学級,434,left,05,,
N2,かつどう,活動,434,left,06,,
N2,かもく,科目,434,left,07,,
N2,きゅうこう,休講,434,left,08,1,duplicate_reading
N2,くみ,組,434,right,09,,
N2,こうてい,校庭,434,right,00,1,duplicate_reading
N2,サークル,circle,434,right,01,,
N2,さいてん,採点,434,right,02,,
