reason,level,reading,writing,zh,page,column,entry_no,needs_review
duplicate_lower_or_base_reading,N1,しせつ,施設,,633,left,03,
needs_review,N1,せつりつ,設立,,633,right,,1
needs_review,N1,いいん,医院,,634,right,,1
needs_review,N1,うけいれる,受け入れる,,634,right,,1
duplicate_lower_or_base_reading,N1,あつかい,扱い,,636,left,01,
needs_review,N1,とりかえ,取り替え,,636,right,,1
needs_review,N1,にぎわう,賑わう,,636,right,,1
needs_review,N1,バー,bar,,636,right,,1
duplicate_lower_or_base_reading,N1,きょうかい,協会,,637,left,03,
duplicate_lower_or_base_reading,N1,つぐ,継ぐ,,637,right,07,
duplicate_lower_or_base_reading,N1,ていけい,提携,,637,right,08,
needs_review,N1,うんそう,運送,,638,left,,1
needs_review,N1,かいそう,回送,,638,left,,1
needs_review,N1,けいろ,経路,,638,right,,1
needs_review,N1,さえぎる,遮る,,638,right,,1
needs_review,N1,せっしょく,接触,,638,right,,1
needs_review,N1,せんよう,専用,,638,right,,1
needs_review,N1,ふうさ,封鎖,,638,right,,1
duplicate_lower_or_base_reading,N1,ゆうせん,優先,,639,left,11,
needs_review,N1,つりかわ,つり革,,640,left,,1
duplicate_lower_or_base_reading,N1,ふっきゅう,復旧,,640,left,08,
needs_review,N1,みうごき,身動き,,640,right,,1
needs_review,N1,ロープウェー,ropeway,,640,right,,1
needs_review,N1,アクセル,accelerator 之略,,640,right,,1
needs_review,N1,インターチェンジ,interchange,,640,right,,1
duplicate_lower_or_base_reading,N1,あてな,宛名,,642,left,00,
too_short_zh,N1,あて,宛,宛,642,left,02,
needs_review,N1,オンライン,on-line,,642,left,,1
needs_review,N1,しゅうはすう,周波数,,642,right,,1
needs_review,N1,つうわ,通話,,642,right,,1
needs_review,N1,といあわせる,問い合わせる,,642,right,,1
needs_review,N1,どうふう,同封,,642,right,,1
needs_review,N1,とぎれる,途切れる,,642,right,,1
too_short_zh,N1,ふう,封,封,643,left,12,
duplicate_lower_or_base_reading,N1,こうかい,公開,,643,right,05,
duplicate_lower_or_base_reading,N1,ことづける,言付ける,,643,right,07,
needs_review,N1,コマーシャル,commercial,,644,left,,1
needs_review,N1,つげる,告げる,,644,left,,1
duplicate_lower_or_base_reading,N1,てんそう,転送,,644,left,13,
needs_review,N1,えいぞう,映像,,644,right,,1
needs_review,N1,おおやけ,公,,644,right,,1
needs_review,N1,かいけん,会見,,644,right,,1
needs_review,N1,さんじょう,参上,,644,right,,1
needs_review,N1,しゅざい,取材,,644,right,,1
duplicate_lower_or_base_reading,N1,きわめる,極める,,646,left,02,
needs_review,N1,らゅうがえり,宙返り,,646,right,,1
needs_review,N1,ういほう,追放,,646,right,,1
duplicate_existing_n1_reading,N1,どうじょう,道場,道場、修行的地方、教授武藝的場所、練武場,647,left,12,
duplicate_lower_or_base_reading,N1,かんせい,歓声,,648,left,02,
duplicate_lower_or_base_reading,N1,きけん,径権,,648,left,03,
duplicate_lower_or_base_reading,N1,じたい,辞退,,648,right,01,
duplicate_lower_or_base_reading,N1,たっせい,達成,,649,right,23,
duplicate_lower_or_base_reading,N1,のぞむ,臨む,,650,left,33,
needs_review,N1,ふんとう,奮闘,,650,right,,1
needs_review,N1,まさる,勝る,,650,right,,1
needs_review,N1,宗記未0U,纖未 U,,651,left,41,1
duplicate_lower_or_base_reading,N1,もてる,持てる,,651,left,42,
duplicate_lower_or_base_reading,N1,やっつける,やっつける,,651,left,43,
duplicate_source_reading,N1,けいかい,軽全,輕快、輕鬆愉快、輕便、病情、好轉,651,right,09,
duplicate_lower_or_base_reading,N1,てもと,手元,,652,left,10,
duplicate_lower_or_base_reading,N1,おとずれる,訪れる,,653,left,04,
duplicate_lower_or_base_reading,N1,かける,賭ける,,653,right,07,
duplicate_source_reading,N1,かけ,賭け,打賭、賭、財物,653,right,om,
needs_review,N1,にきょう,余興,,654,right,,1
needs_review,N1,しあげる,仕上げる,,656,left,,1
needs_review,N1,せいこう,精巧,,656,left,,1
needs_review,N1,せいてき,和静的,,656,right,,1
needs_review,N1,せんこう,選考,,656,right,,1
needs_review,N1,ぞう,像,,656,right,,1
needs_review,N1,ちゃのゆ,茶の湯,,656,right,,1
needs_review,N1,デッサン,(法) dessin,,656,right,,1
duplicate_lower_or_base_reading,N1,はいけい,背景,,657,left,24,
duplicate_lower_or_base_reading,N1,ひろう,披露,,657,left,27,
duplicate_lower_or_base_reading,N1,わざ,技,,657,right,30,
duplicate_lower_or_base_reading,N1,しき,指揮,,657,right,03,
needs_review,N1,ミュージック,music,,658,right,,1
needs_review,N1,メロディー,melody,,658,right,,1
needs_review,N1,もれる,漏れる,,658,right,,1
needs_review,N1,えいしゃ,映写,,658,right,,1
needs_review,N1,えんしゅつ,演出,,658,right,,1
needs_review,N1,えんじる,演じる,,658,right,,1
duplicate_lower_or_base_reading,N1,こうえん,公演,,659,left,08,
duplicate_lower_or_base_reading,N1,ここ,個々,,660,left,00,
duplicate_lower_or_base_reading,N1,たん,単,,660,right,05,
needs_review,N1,ちょう,超,,660,right,,1
duplicate_lower_or_base_reading,N1,つい,対,,661,left,11,
duplicate_lower_or_base_reading,N1,とう,棟,,661,left,12,
duplicate_lower_or_base_reading,N1,かける,欠ける,,661,right,03,
duplicate_lower_or_base_reading,N1,げんしょう,減少,,662,left,07,
duplicate_lower_or_base_reading,N1,さくげん,削減,,662,left,00,
duplicate_lower_or_base_reading,N1,ダウン,down,,662,left,10,
needs_review,N1,ひりつ,比率,,662,right,,1
needs_review,N1,ひれい,比例,,662,right,,1
needs_review,N1,ぶんぼ,分母,,662,right,,1
needs_review,N1,マイナス,minus,,662,right,,1
needs_review,N1,いくた,幾多,,662,right,,1
duplicate_existing_n1_reading,N1,いっさい,ー切,員則、一切、條部、家財一切失,663,left,02,
duplicate_lower_or_base_reading,N1,おびただしい,束しい,,663,left,oe,
duplicate_lower_or_base_reading,N1,おもい,重い,,663,left,07,
duplicate_lower_or_base_reading,N1,かくしゅ,各種,,663,right,oy,
duplicate_existing_n1_reading,N1,かさばる,かさ張る,財柄、数量等、増大、鈴積大、増多,663,right,40,
duplicate_lower_or_base_reading,N1,かそ,過疎,,663,right,13,
needs_review,N1,ダブル,double,,664,right,,1
needs_review,N1,たよう,多様,,664,right,,1
needs_review,N1,ちょうだい,長大,,664,right,,1
needs_review,N1,こう,甲,,666,right,,1
needs_review,N1,したまわる,下回る,,666,right,,1
needs_review,N1,せんちゃく,先着,,666,right,,1
needs_review,N1,ちょうふく・じゅうふく,重複,,666,right,,1
needs_review,N1,つらねる,連ねる,,666,right,,1
duplicate_lower_or_base_reading,N1,てじゅん,手順,,667,left,01,
duplicate_lower_or_base_reading,N1,はつ,初,,667,left,13,
