declaredNormalizedReading,reading,writing,zh,source_page,source_column,source_entry_no
ふじゆう,ふじゆう,不自由,形動、自不自由不如意、不充裕、不聽使喚、不方便,259,left,28
へいき,へいき,平気,鎮定、冷靜、不在乎、不介意、無動於衷,259,right,29
ほっと,ほっと,ほっと,放心、鬆一口氣,259,right,30
もったいない,もったいない,もったいない,可惜的、浪費的、過傍的、慢剖、不敢當,259,right,34
がまん,がまん,我慢,忍耐、克制、將就、原諒、四我慢,260,left,02
がまんづよい,がまんづよい,我慢強い,忍耐性強、有忍耐力,260,right,
きょうちょう,きょうちょう,強調,強調、樺力主張、看漲,260,right,
くせ,くせ,癖,癖好、脾氣、習慣、摺線、髪員著,260,right,
さける,さける,避ける,躲避,260,right,
じっこう,じっこう,実行,實行、落實、施行、実行移,261,left,10
じっと,じっと,じっと,男自保持穩定、一動不動、凝神、精會神、一聲不響地忍住、無所做,261,left,11
だます,だます,騙す,偶騙、欺肪、誰肪、矇騙、哄,261,right,07
ちょうせん,ちょうせん,挑戦,挑戰,261,right,18
もうしこむ,もうしこむ,申し込む,提議、提出、申請、報名、訂購、預約,262,left,25
ゆうき,ゆうき,勇気,勇氣,262,right,07
あい,あい,愛,江守愛、愛情、友情、因情愛好、愛、喜愛、喜歡、愛惜,262,right,01
あら,あら,粗,缺點、毛病,262,right,02
ねっちゅう,ねっちゅう,熱中,熱中、著迷,262,right,04
むちゅう,むちゅう,夢中,形動夢中、在睡夢福不願一切,263,left,oe
れんあい,れんあい,恋愛,戀愛,263,left,10
こうふん,こうふん,興奮,興奮、情緒高昂,263,right,01
たかまる,たかまる,高まる,高漲、提高、增長、興鶴,263,right,03
ゆかい,ゆかい,愉快,愉快、暢快、令人愉快、討人喜、歡、令人意想不到,263,right,08
よろこび,よろこび,喜び・慶び,高興、歡喜、喜悅、喜事、喜慶事、道喜、賀喜,263,right,oe
わらい,わらい,笑い,估笑、笑聲、嘲笑、譏笑、冷笑,264,left,07
かなしみ,かなしみ,悲しみ,悲哀、悲傷、憂各、悲痛,264,left,00
くるしい,くるしい,苦しい,艱苦、困難、難過、勉強,264,left,02
すとれす,ストレス,ストレス,重音、壓力、緊張、回入上上入寢骨碎痛,264,left,03
まけ,まけ,負け,輸、失敗、減價、贈品,264,left,05
わかれ,わかれ,別れ,別、離別、分離、分支、旁系,264,right,06
いかり,いかり,怒り,憤怒,264,right,01
さわぎ,さわぎ,騒ぎ,騷動、吵鬧,264,right,02
しょっく,ショック,ショック,震動、刺激打撃,264,right,03
ぼうりょく,ぼうりょく,暴力,暴力、武力,264,right,05
もんく,もんく,文句,異議,265,left,oe
こうかい,こうかい,後悔,後悔、懊悔,265,left,02
たすかる,たすかる,助かる,得救、有幫助,265,left,03
にくらしい,にくらしい,憎らしい,討厭的、可恨的,265,left,04
はんせい,はんせい,反省,反省、檢討自己,265,left,95
もうしわけない,もうしわけない,申し訳ない,實在抱歉、非常對不起、十分對不起,265,right,07
